Product Name,Product URL,Brand,Sale Price,Mrp,Discount Percentage,Number Of Ratings,Number Of Reviews,Upc,Star Rating,Ram
"SAMSUNG Galaxy M51 (Electric Blue, 128 GB)",https://www.flipkart.com/samsung-galaxy-m51-electric-blue-128-gb/p/itm4c319bae3c362?pid=MOBFX2HBBH8BSPTE,SAMSUNG,25399,25470,0,337,28,MOBFX2HBBH8BSPTE,4.3,8 GB
"SAMSUNG Galaxy M51 (Celestial Black, 128 GB)",https://www.flipkart.com/samsung-galaxy-m51-celestial-black-128-gb/p/itm69f1475058168?pid=MOBFX3JN2QA3RYZE,SAMSUNG,24900,25450,2,337,28,MOBFX3JN2QA3RYZE,4.3,8 GB
"Micromax IN Note 1 (White, 64 GB)",https://www.flipkart.com/micromax-note-1-white-64-gb/p/itmcc06e52610564?pid=MOBFX3R39DU8EHYV,Micromax,11499,15499,25,13429,2841,MOBFX3R39DU8EHYV,4.3,4 GB
"Micromax IN Note 1 (Green, 64 GB)",https://www.flipkart.com/micromax-note-1-green-64-gb/p/itmcc06e52610564?pid=MOBFX3R3GNFGENVG,Micromax,11499,15499,25,13429,2841,MOBFX3R3GNFGENVG,4.3,4 GB
"Micromax IN Note 1 (Green, 128 GB)",https://www.flipkart.com/micromax-note-1-green-128-gb/p/itmcc06e52610564?pid=MOBFX3R3RMCZR7RG,Micromax,12499,16999,26,13429,2841,MOBFX3R3RMCZR7RG,4.3,4 GB
"realme X3 SuperZoom (Arctic White, 256 GB)",https://www.flipkart.com/realme-x3-superzoom-arctic-white-256-gb/p/itm7e4d21f06e37e?pid=MOBFX6XQU9Z3YUUJ,realme,26999,31999,15,7236,801,MOBFX6XQU9Z3YUUJ,4.4,8 GB
"SAMSUNG M31 Prime (Space Black, 128 GB)",https://www.flipkart.com/samsung-m31-prime-space-black-128-gb/p/itm665ecf78db868?pid=MOBFX77NDJXMDZZY,SAMSUNG,17180,17438,1,552,46,MOBFX77NDJXMDZZY,4.4,6 GB
"Coolpad COOL 3 (CHERRY BLACK, 32 GB)",https://www.flipkart.com/coolpad-cool-3-cherry-black-32-gb/p/itmff3249ysfyh54?pid=MOBFXDHCSAYQVJXR,Coolpad,6499,6499,0,268,21,MOBFXDHCSAYQVJXR,3.5,3 GB
"Coolpad COOL 3 (Ocean Indigo, 32 GB)",https://www.flipkart.com/coolpad-cool-3-ocean-indigo-32-gb/p/itmff3249ysfyh54?pid=MOBFXEHP5FETGHGK,Coolpad,6499,6499,0,268,21,MOBFXEHP5FETGHGK,3.5,3 GB
"Redmi Note 9 (Shadow Black, 64 GB)",https://www.flipkart.com/redmi-note-9-shadow-black-64-gb/p/itm12201c2ee63e5?pid=MOBFXEPZM4DX89AQ,Redmi,11353,11625,2,18701,1397,MOBFXEPZM4DX89AQ,4.3,4 GB
"OPPO A15 (Mystery Blue, 32 GB)",https://www.flipkart.com/oppo-a15-mystery-blue-32-gb/p/itm227feb7ae22b8?pid=MOBFXFAZFDFMCT3B,OPPO,9699,9979,2,251,11,MOBFXFAZFDFMCT3B,4.3,3 GB
"ViVO V20 Pro (Sunset Melody, 128 GB)",https://www.flipkart.com/vivo-v20-pro-sunset-melody-128-gb/p/itm154c5af487ca8?pid=MOBFXK94MYTARZ8F,ViVO,29990,34990,14,6256,662,MOBFXK94MYTARZ8F,4.4,8 GB
"ViVO V20 Pro (Midnight Jazz, 128 GB)",https://www.flipkart.com/vivo-v20-pro-midnight-jazz-128-gb/p/itm154c5af487ca8?pid=MOBFXK94NTHAHHYJ,ViVO,29990,34990,14,6256,662,MOBFXK94NTHAHHYJ,4.4,8 GB
"Nokia 2.4 (Dusk Purple, 64 GB)",https://www.flipkart.com/nokia-2-4-dusk-purple-64-gb/p/itmc59892f09caad?pid=MOBFXNHZBGCGCU5B,Nokia,9744,9974,2,497,50,MOBFXNHZBGCGCU5B,4.1,3 GB
"Nokia 2.4 (Charcoal Grey, 64 GB)",https://www.flipkart.com/nokia-2-4-charcoal-grey-64-gb/p/itmc59892f09caad?pid=MOBFXNHZKJZVAF4H,Nokia,9199,9999,8,500,50,MOBFXNHZKJZVAF4H,4.1,3 GB
